subject,rmse_kcalsmin,rmse_mets,mape,ee_obs,mean_bias,mean_percent_bias,model
subject_1,0.519601178,0.836655601,29.14610436,7.637944444,-1.266028921,-16.57551885,fl rf
subject_2,0.528742262,0.935582481,45.61585157,22.96019444,-9.70226593,-42.25689793,fl rf
subject_3,0.43269524,0.621250015,22.88388499,34.49975,-6.72251447,-19.48569039,fl rf
subject_4,0.534696474,0.866990313,17.5208216,38.97058333,6.53628291,16.77235071,fl rf
subject_5,0.309082191,0.500080664,10.81380549,40.33080556,2.43022488,6.025728587,fl rf
subject_6,0.611257448,1.160891594,45.49051778,11.41708333,-5.18187586,-45.38703722,fl rf
subject_7,0.83125723,1.219679271,24.18335743,45.34,10.5084046,23.1768959,fl rf
subject_8,1.305732288,1.692311035,36.52765153,54.78527778,19.54261282,35.67128545,fl rf
subject_9,0.512093937,0.820798832,20.4700587,44.90608333,4.29650896,9.567765972,fl rf
subject_10,0.482128671,0.84632013,18.98730718,36.12169444,-3.6898439,-10.21503547,fl rf
subject_1,0.457182222,0.736149345,25.43061021,7.637944444,-1.190599517,-15.58795728,fl ann
subject_2,0.340218777,0.601999785,25.30631806,22.96019444,-4.6314068,-20.17146158,fl ann
subject_3,0.647125036,0.929121472,35.05717438,34.49975,-10.71139366,-31.04774284,fl ann
subject_4,0.492126374,0.797964489,17.60664129,38.97058333,3.66588762,9.406807152,fl ann
subject_5,0.340839344,0.551462266,13.09040955,40.33080556,2.30930886,5.725918012,fl ann
subject_6,0.893883289,1.697650635,65.57709421,11.41708333,-7.51001912,-65.77878871,fl ann
subject_7,0.905477741,1.328580843,26.68655448,45.34,12.59356759,27.77584382,fl ann
subject_8,1.338072206,1.7342256,38.06774099,54.78527778,19.88377005,36.29400243,fl ann
subject_9,0.593612529,0.951459167,25.53902384,44.90608333,2.62909214,5.854645841,fl ann
subject_10,0.470932777,0.826667055,18.50273543,36.12169444,-2.03490568,-5.633472381,fl ann
subject_1,0.534107967,0.860014259,30.22489829,7.637944444,-1.770927744,-23.18592073,retrained ann
subject_2,0.546978171,0.967849993,45.68747853,22.96019444,-9.6384831,-41.9791005,retrained ann
subject_3,0.275836564,0.396037334,12.82088828,34.49975,-1.16318724,-3.371581649,retrained ann
subject_4,0.564175122,0.914788835,18.95580259,38.97058333,6.6027303,16.94285724,retrained ann
subject_5,0.406996356,0.658501245,14.72113581,40.33080556,3.7614765,9.326559308,retrained ann
subject_6,0.586136725,1.113182668,45.69238881,11.41708333,-5.04462544,-44.18488763,retrained ann
subject_7,0.569803913,0.836056513,15.56993563,45.34,4.88398985,10.77192292,retrained ann
subject_8,1.249885059,1.61992952,34.53987636,54.78527778,18.31110708,33.4234083,retrained ann
subject_9,0.60909099,0.976268486,26.24595545,44.90608333,4.216408,9.389391564,retrained ann
subject_10,0.488315408,0.857180218,19.59785246,36.12169444,-3.01835117,-8.356061964,retrained ann
subject_1,0.512008967,0.824430714,16.77816669,7.637944444,-1.143319105,-14.96893717,lab ann
subject_2,0.591728627,1.047033643,30.24821416,22.96019444,-10.22128237,-44.51740336,lab ann
subject_3,0.317090507,0.455268429,14.79274725,34.49975,2.06649632,5.989887811,lab ann
subject_4,0.424344771,0.688059157,17.25476107,38.97058333,3.51960021,9.031428091,lab ann
subject_5,0.422239555,0.683164036,17.90806313,40.33080556,2.98092899,7.391196255,lab ann
subject_6,0.755533592,1.434898827,31.38258987,11.41708333,-4.85399036,-42.51515225,lab ann
subject_7,0.761928479,1.117955235,31.60401765,45.34,8.05511673,17.76602719,lab ann
subject_8,1.231810453,1.596503695,56.09778478,54.78527778,18.50179174,33.77146651,lab ann
subject_9,0.614106874,0.98430809,27.01662786,44.90608333,7.66922458,17.07836447,lab ann
subject_10,0.61861715,1.085909589,18.74907366,36.12169444,-6.05704205,-16.76843278,lab ann
subject_1,0.497512832,0.80108921,21.46728894,8.300916667,0.80163302,9.657162602,lab rf
subject_2,0.202064821,0.357543401,14.84329089,22.863,-2.09075862,-9.144725627,lab rf
subject_3,0.516337829,0.741341374,24.4597444,34.37841667,8.13682544,23.66841242,lab rf
subject_4,1.006367973,1.631787988,36.95071177,39.5405,15.67017364,39.63069167,lab rf
subject_5,0.701207197,1.134520754,26.69428908,40.20533333,9.02920281,22.45772404,lab rf
subject_6,0.266438878,0.50601699,14.52858599,11.40458333,-1.03997872,-9.118954107,lab rf
subject_7,0.780797047,1.145640529,23.62569091,45.21641667,11.21950407,24.8128996,lab rf
subject_8,1.591305619,2.062432004,44.61167634,54.59416667,25.27688595,46.29960945,lab rf
subject_9,0.936889011,1.501672545,30.0755484,45.04083333,14.0571251,31.20973583,lab rf
subject_10,0.57475061,1.008907041,21.03450453,36.5555,4.59192367,12.56151241,lab rf
subject_1,0.625297125,1.006845951,35.49658911,8.300916667,-1.084400002,-13.0636175,retrained rf
subject_2,0.410734474,0.726773715,34.33931121,22.863,-7.07378326,-30.93987342,retrained rf
subject_3,0.313156783,0.449620514,15.50614716,34.37841667,-3.79774811,-11.04689651,retrained rf
subject_4,0.563201066,0.91320944,19.56934294,39.5405,7.27511349,18.39914389,retrained rf
subject_5,0.470894582,0.761885614,18.97980445,40.20533333,0.22597589,0.562054512,retrained rf
subject_6,0.575547247,1.093071279,37.62276467,11.40458333,-4.42516676,-38.80165221,retrained rf
subject_7,0.892367035,1.309343889,27.05744856,45.21641667,10.82216563,23.93415141,retrained rf
subject_8,1.230704129,1.59506983,34.9005172,54.59416667,17.69482147,32.4115607,retrained rf
subject_9,0.539817803,0.865235438,21.14303817,45.04083333,3.11303734,6.911589129,retrained rf
subject_10,0.567893331,0.996869894,23.9588556,36.5555,-5.58226786,-15.27066477,retrained rf
