subject,rmse_kcalsmin,rmse_mets,mape,mean_bias,mean_percent_bias,model
subject_1,0.47637508,0.767053455,26.11103378,-1.255478026,-16.43738096,fl rf
subject_2,0.693407093,1.226948505,59.18178658,-12.54168023,-54.62358023,fl rf
subject_3,0.375692898,0.539407871,18.48683289,-2.20387133,-6.388079131,fl rf
subject_4,0.49446408,0.801754992,16.36604384,5.80190713,14.88791451,fl rf
subject_5,0.401143048,0.649030864,13.26140713,4.14254368,10.27141319,fl rf
subject_6,0.488893903,0.92850046,36.63353279,-4.1762016,-36.57853306,fl rf
subject_7,0.760639776,1.116064359,21.75644685,10.5206133,23.20382289,fl rf
subject_8,1.31894344,1.709433518,34.73334094,20.00624326,36.51755375,fl rf
subject_9,0.617639705,0.989970613,24.34389947,6.82474831,15.19782578,fl rf
subject_10,0.522906407,0.917900644,20.61062407,-4.3450321,-12.0288712,fl rf
subject_1,0.475055671,0.764928959,26.86054535,-0.885244398,-11.59008689,fl svm
subject_2,0.739404721,1.308338964,64.7420771,-13.42885287,-58.48753984,fl svm
subject_3,0.402198151,0.577463268,19.25437428,-1.03695784,-3.005696679,fl svm
subject_4,0.561501818,0.910454174,20.43904478,6.15322699,15.78941464,fl svm
subject_5,0.626094313,1.012991588,20.91794425,6.87762403,17.05302915,fl svm
subject_6,0.638501897,1.21263387,52.31941803,-5.30876693,-46.49845128,fl svm
subject_7,0.911089864,1.336815345,28.08035063,13.44635797,29.65672247,fl svm
subject_8,1.471337433,1.906945702,41.03849454,22.68644496,41.40974707,fl svm
subject_9,0.896223997,1.436493497,38.62447244,7.88213572,17.55248985,fl svm
subject_10,0.563798152,0.989681291,18.92890637,5.28239519,14.62388537,fl svm
subject_1,0.403827659,0.650238466,22.13483689,-0.476740248,-6.241734952,retrained svm
subject_2,0.572824237,1.013583289,48.86200617,-10.14512743,-44.18572089,retrained svm
subject_3,0.333091598,0.478242285,15.63595536,0.34402249,0.997173864,retrained svm
subject_4,0.587002448,0.951802491,20.53590123,7.56883232,19.42191179,retrained svm
subject_5,0.519620962,0.84072264,17.95713041,7.00164594,17.36054076,retrained svm
subject_6,0.449856483,0.854361139,33.41350536,-3.81617334,-33.42511594,retrained svm
subject_7,0.83670052,1.227666051,24.6545529,11.87414391,26.18911317,retrained svm
subject_8,1.439806343,1.86607943,39.28799411,22.3025914,40.70909614,retrained svm
subject_9,0.652312632,1.045545373,25.17162019,8.3927608,18.68958541,retrained svm
subject_10,0.455568014,0.799696022,16.78936738,-1.3571684,-3.757211341,retrained svm
subject_1,0.508713889,0.819125019,21.05992471,-0.719416008,-9.418974088,lab svm
subject_2,0.665433936,1.177451431,30.44050506,-10.19185463,-44.38923484,lab svm
subject_3,0.484887809,0.69618644,28.43200793,7.00790316,20.31290998,lab svm
subject_4,0.627495761,1.017460881,29.94270493,8.52779497,21.88264645,lab svm
subject_5,0.562202703,0.909617924,27.49570132,7.4980178,18.59129193,lab svm
subject_6,0.662896641,1.258964027,30.38352167,-5.35357486,-46.89091518,lab svm
subject_7,0.666240964,0.977555761,24.37379263,7.82016827,17.24783474,lab svm
subject_8,1.159443536,1.502711627,47.84337171,16.91595132,30.87681948,lab svm
subject_9,0.547228043,0.877112783,20.70078735,-1.24477054,-2.771941901,lab svm
subject_10,0.520287794,0.913303978,17.88791148,-2.17491573,-6.021078921,lab svm
subject_1,0.585946384,0.943483858,31.14195061,-0.482026928,-5.806912024,lab rf
subject_2,0.5079872,0.898857457,42.80159839,-8.61191372,-37.66747024,lab rf
subject_3,0.417130876,0.598903197,16.90268904,4.30688621,12.52787832,lab rf
subject_4,0.702084914,1.138404399,25.14181269,10.53129117,26.63418816,lab rf
subject_5,0.596074476,0.964420884,23.21669953,7.68036043,19.10283983,lab rf
subject_6,0.371739181,0.706001851,23.38160839,-2.23550947,-19.60185134,lab rf
subject_7,0.648893214,0.952101917,18.42887556,4.72321617,10.44579938,lab rf
subject_8,1.380676475,1.789443408,36.45334489,20.84641781,38.18433192,lab rf
subject_9,0.680325089,1.090444541,24.50813062,9.63257376,21.38631337,lab rf
subject_10,0.54899366,0.963693747,21.72736805,-3.87943023,-10.61243925,lab rf
subject_1,0.567612333,0.913962589,31.39327608,-0.825328589,-9.942619859,retrained rf
subject_2,0.676146713,1.196407143,57.32535473,-11.85989745,-51.87375869,retrained rf
subject_3,0.36878979,0.529496609,17.33912239,-1.2737111,-3.70497313,retrained rf
subject_4,0.503567997,0.816516652,16.74788814,5.91017981,14.94715497,retrained rf
subject_5,0.533778129,0.86362828,20.48878859,3.07875052,7.657567454,retrained rf
subject_6,0.42753868,0.811975479,31.52039153,-3.55894445,-31.2062646,retrained rf
subject_7,0.748790382,1.098678092,21.13961266,9.73759234,21.53552417,retrained rf
subject_8,1.328297118,1.721556472,34.97128123,19.89653732,36.44443818,retrained rf
subject_9,0.62686731,1.004760882,25.3093028,7.17662713,15.93360202,retrained rf
subject_10,0.600552368,1.05419899,24.65947632,-5.42102104,-14.82956338,retrained rf
